Event_Name,Overall_Rating,Organization,Speaker_Quality,Venue,Attend_Again,Liked_Most,Improvements,Additional_Comments
Tech Innovation Talk,5,Excellent,Excellent,Good,Yes,The speaker was very inspiring and knowledgeable,More time for Q&A,Great event overall
Career Fair,4,Good,Good,Average,Yes,Good networking opportunities,Better organization of booths,Crowded but useful
Leadership Workshop,3,Average,Good,Average,Maybe,Interactive activities,Session felt too long,Could be more engaging
AI Seminar,5,Excellent,Excellent,Excellent,Yes,Very informative and well organized,Nothing much,Loved the practical examples
Entrepreneurship Panel,2,Poor,Average,Poor,No,Panelists were honest,Poor time management,Event started late
Mental Health Awareness,4,Good,Good,Good,Yes,Important topic,More student interaction,Well handled topic
Coding Bootcamp,5,Excellent,Excellent,Good,Yes,Hands-on learning,Long sessions,Very useful workshop
Debate Competition,3,Average,Average,Good,Maybe,Interesting arguments,Better judging criteria,Okay experience
Business Networking Night,4,Good,Good,Good,Yes,Met professionals,Improve seating arrangement,Nice initiative
Cultural Night,5,Excellent,Good,Excellent,Yes,Performances were amazing,Better sound system,Very enjoyable
Research Symposium,2,Poor,Average,Average,No,Some presentations were good,Better scheduling,Too long and tiring
Marketing Talk,4,Good,Good,Good,Yes,Practical insights,More case studies,Good session
Women in Tech Event,5,Excellent,Excellent,Good,Yes,Empowering discussions,More time,Inspiring event
Startup Pitch Day,3,Average,Good,Average,Maybe,Creative ideas,Better judging transparency,Decent experience
